,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%)
1988-10-01,5.4,0.33472803347280866,5.4
1989-01-01,4.1,0.41425020712511085,5.4
1989-04-01,3.1,0.7364975450081745,5.2
1989-07-01,3.0,0.3223207091055613,5.2
1989-10-01,0.8,0.48076923076922906,5.3
1990-01-01,4.4,0.9501187648456089,5.4
1990-04-01,1.5,0.2332814930015692,5.4
1990-07-01,0.3,0.4618937644341736,5.5
1990-10-01,-3.6,0.6792452830188811,5.9
1991-01-01,-1.9,0.37257824143070994,6.4
1991-04-01,3.2,0.2225519287833766,6.7
1991-07-01,2.0,0.14705882352941124,6.8
1991-10-01,1.4,0.14598540145984717,7.0
1992-01-01,4.9,0.07235890014474222,7.3
1992-04-01,4.4,0.21567217828901697,7.4
1992-07-01,4.0,0.2855103497501732,7.7
1992-10-01,4.2,0.425230333097093,7.3
1993-01-01,0.7,0.35137034434293835,7.3
1993-04-01,2.3,0.34891835310537633,7.1
1993-07-01,1.9,0.1386001386001201,6.9
1993-10-01,5.6,0.4137931034482678,6.8
1994-01-01,3.9,0.0,6.6
1994-04-01,5.5,0.06798096532969478,6.4
1994-07-01,2.4,0.33806626098715764,6.1
1994-10-01,4.7,0.06697923643670389,5.8
1995-01-01,1.4,0.26648900732844094,5.6
1995-04-01,1.2,0.3968253968254176,5.8
1995-07-01,3.5,0.1312335958005173,5.7
1995-10-01,2.7,0.2612671456564408,5.5
1996-01-01,3.0,0.5198180636777128,5.6
1996-04-01,6.8,0.38585209003214604,5.6
1996-07-01,3.6,0.19144862795150708,5.5
1996-10-01,4.2,0.3170577045022105,5.2
1997-01-01,2.6,0.18856065367693908,5.3
1997-04-01,6.8,0.06257822277846437,5.1
1997-07-01,5.1,0.12484394506866447,4.9
1997-10-01,3.5,0.18610421836229296,4.7
1998-01-01,4.1,0.12360939431395046,4.6
1998-04-01,3.8,0.12345679012344402,4.3
1998-07-01,5.1,0.24570024570023108,4.5
1998-10-01,6.6,0.24464831804280607,4.5
1999-01-01,3.8,0.18248175182480342,4.3
1999-04-01,3.4,0.6674757281553312,4.3
1999-07-01,5.4,0.42168674698794817,4.3
1999-10-01,6.7,0.17878426698449967,4.1
2000-01-01,1.5,0.2962085308056972,4.0
2000-04-01,7.5,-0.05847953216373547,3.8
2000-07-01,0.4,0.29036004645761615,4.0
2000-10-01,2.4,0.1728110599078514,3.9
2001-01-01,-1.3,0.572737686139746,4.2
2001-04-01,2.5,0.17035775127769437,4.4
2001-07-01,-1.6,-0.16882386043892694,4.6
2001-10-01,1.1,-0.28074115665356336,5.3
2002-01-01,3.4,0.16910935738443378,5.7
2002-04-01,2.5,0.4481792717086819,5.9
2002-07-01,1.6,0.22271714922048602,5.8
2002-10-01,0.5,0.22123893805308104,5.7
2003-01-01,2.1,0.44004400440043057,5.8
2003-04-01,3.6,-0.38064165307233333,6.0
2003-07-01,6.8,0.3276897870016393,6.2
2003-10-01,4.7,-0.10804970286331095,6.0
2004-01-01,2.3,0.43126684636118906,5.7
2004-04-01,3.1,0.16034206306787535,5.6
2004-07-01,3.8,0.10587612493382359,5.5
2004-10-01,4.1,0.5268703898840821,5.5
2005-01-01,4.5,-0.052164840897228615,5.3
2005-04-01,2.0,0.31071983428274663,5.2
2005-07-01,3.2,0.6195147134744561,5.0
2005-10-01,2.2,0.15090543259557165,5.0
2006-01-01,5.5,0.6057546693589266,4.7
2006-04-01,1.0,0.5007511266900355,4.7
2006-07-01,0.6,0.5450941526263575,4.7
2006-10-01,3.5,-0.4437869822485285,4.4
2007-01-01,1.2,0.1659281142294633,4.6
2007-04-01,2.5,0.3000662483924943,4.5
2007-07-01,2.3,0.17805958481715844,4.7
2007-10-01,2.5,0.3083237831280172,4.7
2008-01-01,-1.7,0.3447705076970342,5.0
2008-04-01,2.4,0.2314381020201539,5.0
2008-07-01,-2.1,0.7141444751521009,5.8
2008-10-01,-8.5,-0.8598436564828615,6.5
2009-01-01,-4.5,0.2530771341261451,7.8
2009-04-01,-0.7,0.10070825195886979,9.0
2009-07-01,1.4,-0.029796545463012247,9.5
2009-10-01,4.4,0.3001931798703783,10.0
2010-01-01,1.9,0.06487322116246474,9.8
2010-04-01,3.9,0.023004053314190642,9.9
2010-07-01,3.1,0.18692535416828804,9.4
2010-10-01,2.1,0.348184629481163,9.4
2011-01-01,-0.9,0.3243042200370194,9.1
2011-04-01,2.7,0.46940989750992035,9.1
2011-07-01,-0.1,0.26200368317570444,9.0
2011-10-01,4.6,0.0675207527019328,8.8
2012-01-01,3.4,0.27241960540966836,8.3
2012-04-01,1.8,0.16607883500068255,8.2
2012-07-01,0.6,0.02888099280600187,8.2
2012-10-01,0.5,0.26967945804385884,7.8
2013-01-01,4.0,0.1980788942180789,8.0
2013-04-01,1.1,-0.2087979266581219,7.6
2013-07-01,3.5,0.19574523005443378,7.3
2013-10-01,3.5,0.053523104853914205,7.2
2014-01-01,-1.4,0.24241752904536895,6.6
2014-04-01,5.3,0.18641856050976013,6.2
2014-07-01,5.0,0.11254852864928111,6.2
2014-10-01,2.0,-0.019791390324119806,5.7
2015-01-01,3.6,-0.6370316441765556,5.7
2015-04-01,2.5,0.10424788961589382,5.4
2015-07-01,1.6,0.15863197801873063,5.2
2015-10-01,0.7,0.09894820166906904,5.0
2016-01-01,2.3,-0.04584435630738959,4.8
2016-04-01,1.3,0.38306451612901693,5.1
2016-07-01,2.9,-0.05037007434789409,4.8
2016-10-01,2.2,0.23426874979268764,4.9
2017-01-01,2.0,0.4043076694815628,4.7
2017-04-01,2.3,0.12341528217407749,4.4
2017-07-01,3.2,0.03276499715354486,4.3
2017-10-01,4.6,0.07750522450138408,4.2
2018-01-01,3.3,0.42533443635115464,4.0
2018-04-01,2.1,0.2604406656061986,4.0
2018-07-01,2.5,0.07808204989283585,3.8
2018-10-01,0.6,0.2339580144498754,3.8
2019-01-01,2.5,-0.08149798035343991,4.0
2019-04-01,3.4,0.3759679404743643,3.7
2019-07-01,4.8,0.23078761661827762,3.7
2019-10-01,2.8,0.2827282299262768,3.6
2020-01-01,-5.5,0.19216641534238743,3.6
2020-04-01,-28.1,-0.7920147553434065,14.8
2020-07-01,35.2,0.5096443382793581,10.2
2020-10-01,4.4,0.1238475828567287,6.9
2021-01-01,5.6,0.226678623900467,6.4
2021-04-01,6.4,0.6713309948762847,6.1
2021-07-01,3.5,0.46359572974770114,5.4
2021-10-01,7.4,0.9439954442911347,4.5
2022-01-01,-1.0,0.6182204083958309,4.0
2022-04-01,0.3,0.3878706077567129,3.7
2022-07-01,2.7,-0.04473484437697017,3.5
2022-10-01,3.4,0.5256037865063456,3.6
2023-01-01,2.8,0.5515247249069821,3.5
2023-04-01,2.4,0.4027940313549472,3.4
2023-07-01,4.4,0.16968158395787025,3.5
2023-10-01,3.2,0.09076890042749586,3.9
2024-01-01,1.6,0.34301261599751776,3.7
2024-04-01,3.0,0.2912462713108077,3.9
2024-07-01,3.1,0.1389194937581939,4.2
2024-10-01,2.3,0.2264563237849071,4.1
